Speciality_Group,HCP_ID,Decile,Emails_Jan18,Emails_Feb18,Emails_Mar18,Emails_Apr18,Emails_May18,Emails_Jun18,Emails_Jul18,Emails_Aug18,Emails_Sep18,Emails_Oct18,Emails_Nov18,Emails_Dec18,Emails_Jan19,Emails_Feb19,Emails_Mar19,Emails_Apr19,Calls_Jan18,Calls_Feb18,Calls_Mar18,Calls_Apr18,Calls_May18,Calls_Jun18,Calls_Jul18,Calls_Aug18,Calls_Sep18,Calls_Oct18,Calls_Nov18,Calls_Dec18,Calls_Jan19,Calls_Feb19,Calls_Mar19,Calls_Apr19,Segment,Brand_Sales_Jan18,Brand_Sales_Feb18,Brand_Sales_Mar18,Brand_Sales_Apr18,Brand_Sales_May18,Brand_Sales_Jun18,Brand_Sales_Jul18,Brand_Sales_Aug18,Brand_Sales_Sep18,Brand_Sales_Oct18,Brand_Sales_Nov18,Brand_Sales_Dec18,Brand_Sales_Jan19,Brand_Sales_Feb19,Brand_Sales_Mar19,Brand_Sales_Apr19,Final_formulary_status,Final_criteria_status,Speaker_Program_Jan18,Speaker_Program_Feb18,Speaker_Program_Mar18,Speaker_Program_Apr18,Speaker_Program_May18,Speaker_Program_Jun18,Speaker_Program_Jul18,Speaker_Program_Aug18,Speaker_Program_Sep18,Speaker_Program_Oct18,Speaker_Program_Nov18,Speaker_Program_Dec18,Speaker_Program_Jan19,Speaker_Program_Feb19,Speaker_Program_Mar19,Speaker_Program_Apr19,Mobile_Alerts_Jan18,Mobile_Alerts_Feb18,Mobile_Alerts_Mar18,Mobile_Alerts_Apr18,Mobile_Alerts_May18,Mobile_Alerts_Jun18,Mobile_Alerts_Jul18,Mobile_Alerts_Aug18,Mobile_Alerts_Sep18,Mobile_Alerts_Oct18,Mobile_Alerts_Nov18,Mobile_Alerts_Dec18,Mobile_Alerts_Jan19,Mobile_Alerts_Feb19,Mobile_Alerts_Mar19,Mobile_Alerts_Apr19,Competitor_Detailing_Jan18,Competitor_Detailing_Feb18,Competitor_Detailing_Mar18,Competitor_Detailing_Apr18,Competitor_Detailing_May18,Competitor_Detailing_Jun18,Competitor_Detailing_Jul18,Competitor_Detailing_Aug18,Competitor_Detailing_Sep18,Competitor_Detailing_Oct18,Competitor_Detailing_Nov18,Competitor_Detailing_Dec18,Competitor_Detailing_Jan19,Competitor_Detailing_Feb19,Competitor_Detailing_Mar19,Competitor_Detailing_Apr19,TC
NON-PCP,7308,L,0,1,1,0,3,2,4,4,1,3,3,3,3,1,3,2,2,1,1,0,2,2,0,0,0,0,1,2,2,2,0,0,Shared,2,4,10,15,4,1,4,8,4,0,16,10,1,15,6,10,On_Formulary,No_Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,12,14,2,3,14,18,10,18,18,5,12,6,9,12,2,0,1,0,3,0,0,2,0,0,1,0,2,1,2,1,C
Other-Speciality,5522,M,3,1,8,1,3,7,5,6,2,2,5,0,3,1,6,3,2,2,0,2,3,0,2,3,0,2,0,0,4,3,1,2,Shared,50,14,24,52,39,37,32,34,34,44,46,12,52,23,59,11,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,12,7,16,9,17,5,11,0,14,11,10,2,6,6,2,0,2,2,0,3,0,3,0,0,1,0,3,0,1,1,C
NON-PCP,1126246,L,1,3,4,1,1,1,0,0,2,2,4,4,3,1,0,2,2,0,1,0,2,2,2,2,0,2,0,0,0,0,0,0,Shared,10,12,0,7,15,12,0,4,14,6,17,20,18,19,3,9,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,15,7,2,13,1,10,11,0,14,5,0,16,4,13,3,1,3,3,2,3,0,2,1,1,3,2,3,1,1,0,C
PCP,3946410,L,4,0,4,1,3,3,0,4,4,2,0,0,3,3,3,1,2,1,0,2,0,2,0,2,0,1,1,0,1,0,1,1,Shared,9,11,2,16,1,12,8,4,6,8,14,4,4,1,14,3,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,12,7,14,15,13,4,4,7,14,2,5,6,1,11,1,2,1,0,3,2,2,0,2,3,0,1,2,2,2,3,C
Other-Speciality,5757,L,0,1,2,2,0,4,4,4,1,2,2,0,4,1,0,3,2,2,0,2,2,2,1,2,0,2,0,0,1,1,1,2,Shared,4,8,2,3,5,9,11,6,5,9,7,20,13,16,16,0,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,1,11,17,17,16,14,8,5,16,18,16,11,6,1,2,1,3,3,3,1,1,0,0,3,1,1,2,3,2,3,C
Other-Speciality,6702,L,1,0,0,1,1,3,0,0,4,0,4,2,4,2,1,2,2,2,0,1,0,0,2,0,0,2,0,1,0,2,2,2,Shared,15,6,15,19,16,13,30,28,27,30,32,24,24,23,29,31,On_Formulary,Restrictions,1,0,0,0,1,1,1,3,0,3,2,0,2,3,2,0,0,13,16,2,11,17,5,3,11,8,8,9,17,4,7,5,3,2,2,2,2,0,3,3,3,2,0,1,0,2,0,0,T
PCP,705,H,9,11,13,9,10,8,3,13,9,8,2,14,4,8,0,1,2,0,4,0,1,0,2,4,0,0,2,3,3,1,2,0,Shared,118,65,95,80,88,72,90,49,37,59,81,80,71,56,51,107,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,14,17,11,6,3,13,14,14,2,2,0,14,4,1,3,3,2,1,3,2,1,0,2,2,1,1,1,3,1,C
Other-Speciality,2562,M,4,5,8,1,2,6,2,6,8,1,7,5,5,2,8,0,2,4,4,3,3,1,3,4,0,1,0,3,4,2,2,2,Shared,49,10,19,31,41,25,22,59,23,16,19,24,41,22,53,17,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,12,1,6,16,1,17,3,10,7,16,2,14,2,11,2,0,0,3,2,1,1,1,3,3,1,0,3,3,1,1,C
Other-Speciality,5066,M,5,7,5,6,8,8,2,0,4,7,8,4,6,5,5,1,2,3,0,0,4,3,0,3,0,0,4,0,0,1,4,3,Shared,53,55,49,28,39,35,34,45,16,44,32,40,36,11,10,12,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,3,13,8,9,17,12,6,17,10,0,13,8,0,5,2,3,3,1,3,0,3,1,1,3,0,2,1,3,2,3,C
REMS,1677,M,0,6,0,2,2,4,6,1,8,2,4,1,6,6,0,2,2,1,1,3,1,1,4,3,0,2,2,4,2,2,3,1,Shared,10,20,44,11,11,50,36,49,18,29,33,35,52,58,15,10,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,5,0,3,14,4,12,1,2,7,18,11,17,5,11,0,2,2,1,1,1,0,3,1,2,3,3,3,2,2,1,C
Other-Speciality,2778,M,5,3,6,1,3,2,1,5,5,1,1,8,7,5,0,5,2,1,4,4,4,2,1,0,0,1,4,3,1,4,2,3,Shared,32,50,25,29,38,33,50,63,49,63,56,50,57,62,62,49,Not_On_Formulary,Restrictions,3,1,0,3,2,1,3,3,3,0,1,1,0,2,3,3,4,9,0,12,13,18,4,8,1,15,2,4,7,14,15,16,1,2,1,3,2,2,2,3,0,3,0,3,1,2,1,0,T
Other-Speciality,6455,H,14,6,1,1,8,14,2,4,13,11,0,3,7,14,2,10,2,2,4,3,3,0,0,4,0,0,0,3,1,4,4,3,Shared,55,71,50,36,78,91,129,104,123,134,101,101,110,104,101,131,Other,Restrictions,0,3,1,0,2,3,0,0,1,0,2,0,3,2,1,0,7,8,8,10,15,11,7,14,11,0,9,13,3,13,7,2,0,1,3,2,3,3,2,0,0,0,1,0,1,2,2,0,T
PCP,465,H,1,0,14,5,9,0,5,13,1,13,7,6,8,6,4,12,2,1,0,0,2,0,2,2,0,0,3,2,0,4,1,1,Shared,83,46,41,51,38,112,61,110,103,119,45,110,50,66,69,37,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,2,15,4,14,18,16,18,12,18,12,14,14,1,3,0,0,2,2,1,1,3,3,3,3,2,1,1,3,2,C
NON-PCP,1088,H,4,4,4,8,9,3,5,10,0,5,7,6,11,3,7,4,2,1,4,0,0,2,1,0,0,0,3,2,1,0,3,1,Shared,103,31,73,86,58,82,31,31,57,105,55,53,48,113,104,110,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,1,8,17,2,12,2,12,12,5,7,14,2,13,14,1,1,1,3,0,0,0,1,3,1,0,2,0,0,0,1,C
REMS,143,H,6,2,3,14,5,10,13,3,10,2,2,8,12,6,4,7,2,2,4,3,0,2,1,0,0,0,0,4,1,3,2,4,Shared,90,34,89,65,50,115,69,86,43,50,47,114,66,102,112,41,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,12,15,8,1,4,7,17,0,13,17,4,16,3,15,1,2,0,1,3,3,1,2,0,3,1,0,2,2,1,1,C
REMS,202,H,14,4,0,9,9,1,6,5,0,8,12,8,3,8,7,10,3,1,3,4,0,1,0,1,0,1,4,2,4,2,2,4,Shared,115,36,70,57,86,49,54,97,114,105,38,61,55,30,74,72,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,15,18,14,5,1,0,8,1,4,15,14,15,3,18,1,0,3,0,3,0,1,0,2,0,3,0,0,3,3,1,C
Other-Speciality,2536,M,4,3,2,2,3,2,3,7,0,3,2,0,3,4,8,0,3,3,0,4,2,4,4,1,0,4,3,4,3,1,3,4,Shared,33,12,56,48,45,47,72,59,64,67,63,64,59,71,76,68,On_Formulary,Restrictions,0,1,0,2,2,2,2,3,2,2,3,2,0,1,3,2,12,14,10,9,12,12,15,13,10,4,3,14,13,1,4,6,3,1,2,3,0,3,0,3,1,2,3,1,3,2,0,3,T
NON-PCP,1314,M,6,0,2,6,2,3,6,8,7,7,0,4,3,3,8,6,3,3,2,2,0,1,3,4,0,4,0,1,3,4,1,2,Shared,29,37,11,49,48,35,34,16,59,46,50,20,12,24,52,40,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,9,3,1,8,7,17,18,17,9,6,5,15,1,0,2,3,2,3,3,2,1,1,0,3,2,2,2,1,3,C
Other-Speciality,4190,M,1,7,7,7,4,0,5,7,2,4,7,1,4,7,6,3,3,4,4,2,1,3,2,4,0,3,2,1,3,4,2,4,Shared,28,52,43,49,30,47,43,53,33,39,11,57,17,14,20,33,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,18,13,0,11,11,4,5,7,6,13,11,6,3,1,3,2,1,1,3,1,2,1,1,2,2,3,2,0,3,0,C
REMS,123,H,13,6,11,4,8,11,6,10,7,14,1,12,5,14,8,0,3,3,2,3,3,0,4,3,0,4,4,4,0,0,2,4,Shared,80,62,91,44,34,72,106,69,43,30,66,113,84,68,107,69,On_Formulary,Other_restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,14,10,13,17,17,17,18,16,11,0,6,7,10,3,0,1,3,3,0,2,3,2,2,0,0,3,2,3,3,C
Other-Speciality,3084,M,5,1,1,7,2,4,2,6,1,0,8,1,6,5,0,3,3,0,3,0,2,2,2,2,0,0,4,2,4,2,4,1,Shared,37,60,18,60,37,47,63,57,65,76,61,61,76,64,66,76,On_Formulary,Restrictions,2,1,0,3,2,2,1,2,2,0,2,3,1,2,1,3,15,5,4,8,18,2,7,4,6,3,18,4,16,9,6,4,3,3,1,1,0,2,0,0,1,3,3,0,0,2,1,2,T
REMS,1668,M,2,6,1,8,5,4,1,8,6,2,2,0,7,7,7,7,3,1,0,4,0,2,0,3,0,0,2,2,4,1,2,4,Shared,22,19,35,52,42,24,28,10,48,58,56,52,33,46,40,43,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,15,11,12,4,14,1,14,16,14,12,2,1,8,15,0,0,1,0,0,2,0,1,2,0,0,3,0,1,0,2,C
NON-PCP,849,H,2,4,14,5,2,11,1,7,0,8,12,1,8,1,3,14,3,2,1,3,4,4,2,4,0,0,2,0,4,2,1,4,Shared,73,49,90,69,115,34,118,114,76,93,117,99,31,81,81,74,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,14,11,12,15,9,15,7,15,6,4,14,9,15,0,2,3,2,1,0,3,2,2,0,0,1,1,1,2,0,3,C
Other-Speciality,2740,M,0,7,6,3,5,8,0,3,0,6,1,7,8,4,2,2,3,1,1,0,1,2,4,4,0,0,4,2,1,1,3,3,Shared,36,40,56,43,36,52,55,20,48,52,39,35,28,43,49,18,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,8,1,15,18,8,8,1,13,10,6,10,1,0,0,3,1,2,2,3,0,2,1,0,1,0,2,2,0,C
Other-Speciality,2540,M,0,0,3,8,8,0,8,6,1,3,4,1,8,3,6,3,3,2,4,2,2,0,1,4,0,3,0,0,0,1,4,3,Shared,10,48,57,10,25,21,18,50,57,55,16,11,14,31,15,29,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,9,6,18,12,0,6,9,10,0,3,18,5,1,13,1,2,3,0,0,2,2,3,3,2,3,0,2,2,1,2,C
NON-PCP,1021,H,10,1,8,1,11,7,2,10,11,7,6,11,8,14,11,14,3,0,4,1,0,3,4,3,0,0,2,2,0,4,2,1,Shared,119,107,107,65,93,83,38,120,54,60,64,103,94,78,100,91,Not_On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,14,11,7,12,0,18,6,10,6,11,10,7,18,14,3,1,1,2,2,2,0,0,0,1,1,0,1,3,3,0,C
Other-Speciality,1376,H,6,13,3,12,6,7,13,0,10,12,1,12,10,10,8,10,3,1,3,3,3,1,4,4,0,1,4,0,1,3,3,4,Shared,90,43,93,103,85,51,81,69,95,91,74,62,63,95,89,100,Not_On_Formulary,Restrictions,1,1,3,1,3,1,3,0,0,0,1,3,2,0,1,2,12,17,14,13,4,3,1,3,12,12,3,5,17,10,16,11,2,0,2,3,3,1,0,0,0,1,3,1,2,3,0,3,T
NON-PCP,863,H,7,7,5,10,14,4,3,10,1,11,11,11,12,2,3,9,3,1,0,0,4,1,3,0,0,1,0,2,1,1,3,0,Shared,83,63,74,78,102,89,113,48,93,61,93,31,118,72,44,110,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,5,8,11,18,10,7,3,8,3,7,7,9,11,8,2,0,2,3,0,2,0,1,2,2,2,3,0,3,3,3,C
PCP,660,H,9,10,9,1,3,14,4,8,3,9,0,8,14,0,1,1,3,0,4,2,0,0,4,4,0,0,0,3,2,1,3,1,Shared,82,60,90,117,112,105,42,61,74,36,37,114,76,81,120,70,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,12,14,14,17,16,17,4,0,18,7,6,15,14,18,2,1,1,1,2,2,0,3,0,1,1,1,2,1,3,0,C
PCP,747,H,3,12,6,14,3,6,9,14,6,10,11,6,14,10,9,7,3,3,2,0,2,0,2,2,0,4,4,4,0,0,3,0,Shared,35,54,37,116,53,32,79,56,61,58,55,49,79,73,66,44,Other,Restrictions,0,2,1,1,2,0,1,2,3,0,2,0,2,0,2,0,14,5,5,5,6,13,10,13,2,7,8,18,14,12,18,8,0,3,2,3,0,1,2,2,0,0,2,1,0,2,2,1,T
Other-Speciality,4423,M,1,3,5,4,4,5,6,4,8,6,6,8,1,2,5,5,4,1,2,0,4,3,4,0,0,0,1,3,3,0,1,4,Shared,47,35,60,32,15,48,37,34,40,46,17,29,33,14,55,19,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,18,18,13,1,7,0,18,12,11,15,18,3,11,3,3,2,3,3,3,0,1,0,2,0,0,2,2,0,0,C
Other-Speciality,2882,M,7,5,5,3,3,4,7,8,5,0,6,8,2,1,0,5,4,1,4,0,3,2,3,1,0,1,0,2,1,3,1,0,Shared,22,59,36,51,31,10,25,57,22,28,52,34,59,55,54,29,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,1,10,5,7,16,15,12,17,10,0,3,14,4,6,0,2,0,1,2,3,3,1,3,0,0,1,0,2,1,0,C
Other-Speciality,2776,M,4,4,6,1,8,1,3,4,2,7,8,8,3,2,8,7,4,1,1,3,4,0,0,3,0,2,0,2,3,1,0,4,Shared,48,13,25,14,52,54,26,29,58,52,50,55,38,15,40,60,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,2,6,1,7,14,12,1,10,15,11,15,16,15,15,1,2,2,1,2,3,0,1,1,2,1,1,2,3,1,0,C
Other-Speciality,5829,M,1,6,5,0,8,5,6,4,4,8,5,4,3,2,3,4,4,3,3,3,0,2,3,3,0,4,2,4,3,3,3,0,Shared,10,34,11,55,37,28,44,50,43,45,56,47,38,51,53,54,Other,Restrictions,0,3,1,2,3,3,0,0,2,1,1,2,3,1,2,1,7,16,11,13,6,1,2,5,1,10,15,17,0,5,18,6,3,3,2,2,2,2,1,2,1,2,2,1,1,0,0,3,T
Other-Speciality,4484,M,8,5,8,5,7,6,7,8,4,3,6,0,4,2,5,5,4,4,4,4,4,0,2,2,0,4,1,2,0,4,4,4,Shared,14,44,39,31,19,25,42,13,42,34,51,52,45,10,49,41,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,5,11,8,17,10,7,2,9,10,11,12,0,9,11,3,1,2,1,0,0,2,2,2,2,2,1,0,0,3,3,C
REMS,1735,M,1,7,1,1,3,4,6,8,5,2,7,7,4,1,7,4,4,1,0,2,2,2,2,1,0,1,1,4,0,3,3,0,Shared,11,45,31,48,13,14,38,43,54,19,41,20,22,42,40,45,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,7,11,17,11,9,11,2,12,9,1,7,10,12,9,1,1,3,1,3,1,1,2,2,1,3,3,1,1,2,3,C
REMS,1571,M,1,2,3,5,1,1,4,3,2,4,1,1,5,3,2,5,4,3,4,1,0,2,3,1,0,3,3,2,4,3,1,3,Shared,32,56,16,13,17,22,50,39,52,32,52,39,39,34,49,37,On_Formulary,Restrictions,2,3,3,2,0,0,2,1,1,0,2,2,1,0,3,2,10,3,15,13,7,11,11,11,6,3,2,2,2,11,7,13,1,3,2,0,3,0,1,2,1,0,3,3,0,0,1,1,T
Other-Speciality,2431,M,2,8,4,3,7,7,1,2,3,0,6,4,5,3,5,6,4,4,1,2,1,2,2,0,0,0,1,0,3,2,4,4,Shared,17,49,51,39,51,34,45,25,41,53,34,28,15,50,13,34,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,7,5,3,15,3,8,0,13,13,1,13,8,14,2,3,1,2,2,3,1,3,2,0,3,2,0,2,3,0,2,C
Other-Speciality,2500,M,7,1,2,7,7,1,2,4,2,3,0,3,7,7,7,0,4,0,4,3,4,4,4,4,0,0,4,4,0,2,2,2,Shared,52,25,39,50,20,58,50,43,20,43,43,56,46,56,29,18,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,9,13,15,10,9,12,13,6,7,6,7,16,6,3,2,1,3,1,0,3,2,0,3,1,1,2,0,3,1,0,C
REMS,1825,M,2,2,6,2,1,7,7,3,8,8,4,5,7,6,4,1,4,2,1,1,3,3,3,0,0,2,2,1,1,4,3,2,Shared,26,57,13,12,29,47,53,33,14,41,26,10,37,57,41,39,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,5,8,18,17,1,16,11,18,8,13,9,6,7,0,3,2,2,0,3,2,0,0,3,1,2,0,2,1,0,2,C
REMS,1955,M,0,4,7,5,0,6,2,8,8,5,0,1,7,0,5,7,4,4,2,3,2,3,3,2,0,4,4,4,1,3,2,0,Shared,30,38,41,26,60,19,41,36,43,39,34,31,36,37,49,35,Not_On_Formulary,Restrictions,0,3,0,3,3,2,0,3,2,2,3,1,3,2,2,1,13,14,13,18,13,16,2,12,10,5,0,8,6,14,9,6,3,0,3,1,2,1,0,0,0,1,0,3,0,0,3,0,T
PCP,614,H,7,0,4,4,8,14,5,7,13,6,2,2,7,2,8,12,4,1,0,1,4,3,0,2,0,4,4,2,1,2,3,1,Shared,43,44,85,69,84,116,139,132,141,158,133,149,126,152,150,134,Other,Restrictions,3,0,2,3,3,3,0,0,1,2,3,1,3,1,2,3,1,1,5,17,9,2,9,10,2,4,6,9,14,15,9,6,1,0,3,0,2,2,3,0,0,2,0,2,1,0,3,1,T
Other-Speciality,5063,M,1,2,4,3,0,5,3,4,1,4,4,6,8,6,4,2,4,0,0,3,1,0,2,1,0,2,1,2,4,1,3,3,Shared,24,44,34,14,14,32,42,55,62,56,45,55,59,44,54,50,On_Formulary,Restrictions,1,3,3,2,0,2,2,0,0,2,2,2,0,0,2,1,4,3,4,7,18,18,2,8,9,8,14,9,11,14,9,16,0,2,3,3,3,2,0,0,2,1,1,1,1,0,2,2,T
Other-Speciality,5454,M,5,2,3,8,8,6,8,8,2,3,3,0,8,0,2,3,4,2,1,2,2,0,3,3,0,1,4,4,3,0,3,3,Shared,50,10,11,41,25,50,30,19,57,25,44,38,17,41,41,31,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,6,1,15,3,14,5,8,10,17,10,16,2,4,11,0,2,1,0,0,3,0,3,0,3,3,2,1,2,2,2,C
Other-Speciality,3339,M,7,8,0,1,3,3,3,6,3,5,8,3,8,5,6,6,4,0,0,0,3,2,0,0,0,1,1,2,3,3,2,2,Shared,58,12,53,34,14,29,47,56,48,34,18,35,35,53,34,35,On_Formulary,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,4,18,5,14,8,0,17,16,3,17,14,16,1,0,3,3,0,0,1,1,3,3,2,3,0,3,2,0,0,C
NON-PCP,839,H,7,13,9,12,0,7,2,9,5,14,10,9,14,1,2,14,4,3,2,0,0,0,1,1,0,3,2,4,4,1,3,2,Shared,116,82,95,105,42,95,121,119,129,134,144,128,128,126,125,111,On_Formulary,Restrictions,2,3,1,0,1,3,0,0,1,0,3,3,2,2,3,1,3,3,3,11,15,12,11,8,14,6,8,3,17,8,18,0,2,1,2,3,0,0,2,3,3,1,3,1,0,1,2,3,T
Other-Speciality,6726,L,2,2,2,3,3,1,4,3,0,2,1,4,0,0,0,4,0,1,0,0,1,0,1,2,1,2,2,2,0,1,0,0,Covered,2,13,12,8,4,16,28,33,27,33,29,31,30,29,29,34,Other,Restrictions,0,3,2,1,2,1,1,1,3,0,0,2,1,3,1,1,16,0,12,0,9,6,8,0,8,8,7,6,18,12,12,5,1,0,3,1,0,3,3,1,2,0,0,1,2,3,3,2,T
PCP,2704389,L,1,2,4,0,2,3,2,4,3,2,0,1,0,1,4,0,0,2,2,0,2,1,1,1,1,0,2,1,2,2,0,1,Covered,0,5,16,3,10,4,11,17,19,5,0,9,15,8,5,2,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,16,8,7,2,9,10,10,15,12,0,17,7,15,9,1,0,1,3,3,2,2,2,3,2,0,2,1,0,1,2,2,C
Other-Speciality,4445,M,7,6,6,4,7,7,1,4,7,8,1,6,1,1,3,8,0,4,4,0,4,1,1,2,1,0,2,0,3,4,4,1,Covered,40,58,26,19,60,50,16,20,41,13,36,59,10,32,29,17,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,13,3,7,17,13,3,2,12,3,5,8,3,6,17,2,2,3,1,1,2,2,0,3,2,0,3,1,3,1,0,C
Other-Speciality,6653,L,1,2,4,1,2,4,0,2,3,2,0,3,2,4,0,4,0,1,0,2,2,0,0,0,1,1,2,0,2,2,1,2,Covered,20,17,19,3,4,6,25,26,23,17,16,22,24,25,16,20,Not_On_Formulary,Restrictions,1,1,2,3,3,2,0,1,0,0,2,1,3,2,3,0,1,12,13,7,1,9,5,9,2,0,11,11,0,14,14,16,2,1,3,3,2,1,0,0,1,1,0,1,1,3,1,1,T
Other-Speciality,6716,L,0,2,0,1,4,1,0,4,4,0,1,2,2,3,0,0,0,2,0,1,2,1,2,2,1,0,0,1,0,0,2,2,Covered,0,1,6,0,0,4,24,16,22,20,17,14,17,21,17,23,On_Formulary,Restrictions,0,2,2,0,3,1,2,0,3,3,1,1,2,2,3,2,1,7,6,10,0,11,14,10,14,1,16,8,9,4,7,7,1,2,0,0,0,3,0,0,2,3,1,0,3,2,3,0,T
Other-Speciality,6730,L,4,3,3,4,4,0,2,0,1,0,1,2,3,4,1,3,0,2,1,0,2,1,0,1,1,1,1,1,2,2,0,0,Covered,12,7,16,3,17,2,22,13,15,13,16,17,22,15,16,18,On_Formulary,Restrictions,2,3,3,2,2,2,2,3,1,0,1,1,2,2,1,0,8,2,9,9,0,14,10,7,18,1,4,4,11,2,12,13,2,0,3,3,3,2,2,1,2,3,2,3,0,2,2,1,T
Other-Speciality,6210,L,1,0,4,2,3,3,1,2,2,0,3,2,3,0,1,3,0,1,2,0,1,2,1,0,1,1,1,0,2,0,0,2,Covered,17,17,15,2,13,12,9,7,16,3,14,3,18,4,9,8,Other,Restrictions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,16,2,12,15,13,16,12,16,5,3,10,8,16,12,3,1,2,3,3,0,3,0,2,1,3,0,2,1,3,3,C
Other-Speciality,6630,L,4,4,0,0,2,1,3,1,2,2,3,4,3,4,4,4,0,2,2,2,2,2,1,0,1,0,0,2,1,2,1,2,Covered,0,10,1,4,20,17,31,31,37,34,37,35,33,34,35,32,Other,Restrictions,1,1,3,2,2,1,3,1,1,0,0,3,3,2,3,1,4,14,6,11,16,7,10,7,8,10,0,3,18,15,17,2,0,1,3,2,1,0,1,2,3,2,2,2,0,0,2,1,T
REMS,2583683,L,2,1,3,4,2,2,0,0,2,2,1,3,3,3,4,0,0,1,2,2,2,0,0,2,1,0,1,1,2,1,2,2,Covered,12,4,14,6,11,6,14,14,2,18,11,10,17,8,19,15,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,14,15,17,9,16,5,8,7,18,5,15,6,15,0,2,0,0,1,3,1,3,2,3,0,1,2,2,2,0,C
NON-PCP,1136725,L,2,4,0,0,2,3,4,2,1,0,3,3,4,2,0,1,0,1,1,2,1,1,2,2,1,2,0,2,2,0,2,2,Covered,19,13,18,16,0,0,12,20,20,1,18,8,14,9,4,18,Other,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,13,2,15,14,7,8,5,8,10,0,14,0,15,17,1,3,2,1,3,1,1,3,0,0,2,2,2,3,1,1,C
REMS,1364668,L,1,0,0,2,0,2,2,0,2,3,3,2,4,0,2,3,0,1,1,2,0,1,0,0,1,0,2,0,2,2,1,2,Covered,18,13,2,12,0,12,1,0,19,3,5,10,7,13,9,18,On_Formulary,Cannot_Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,10,12,16,15,16,5,11,9,1,4,7,11,5,3,4,2,2,2,0,2,0,3,0,3,0,3,3,1,2,0,0,C
